,Geographic name,Geographic area type abbreviation,"Population, 2021","Population, 2016","Land area in square kilometres, 2021"
124,L'Ascension,MÉ,899,791,334.82
125,La Macaza,MÉ,"1,094","1,150",161.42
126,Lac-Saint-Paul,MÉ,525,481,170.72
127,Lac-des-Écorces,MÉ,"2,885","2,734",144.30
128,Lac-du-Cerf,MÉ,445,435,71.73
129,Mont-Saint-Michel 3,MÉ,581,576r,138.16
130,Nominingue,MÉ,"2,255","2,137",303.89
131,Notre-Dame-de-Pontmain,MÉ,790,782,259.90
132,Notre-Dame-du-Laus,MÉ,"1,730","1,558",849.10
133,Saint-Aimé-du-Lac-des-Îles,MÉ,815,790,161.61
134,Sainte-Anne-du-Lac,MÉ,556,575,320.73
135,Argenteuil,MRC,"34,752","32,389","1,234.69"
136,Grenville,VL,"1,816","1,711",2.82
137,Brownsburg-Chatham,V,"7,247","7,122",244.46
138,Lachute 4,V,"14,100","12,862r",108.66
139,Grenville-sur-la-Rouge,MÉ,"2,883","2,824",313.61
140,Mille-Isles,MÉ,"1,721","1,567",58.73
141,Saint-André-d'Argenteuil 4,MÉ,"3,053","3,020r",97.69
142,Gore,CT,"2,283","1,904",90.04
143,Harrington,CT,967,846,233.65
144,Wentworth,CT,682,533,85.03
145,Arthabaska,MRC,"74,348","72,014","1,887.09"
146,Daveluyville 5,V,"2,360","2,255r",61.71
147,Kingsey Falls,V,"1,986","1,947",69.36
148,Victoriaville,V,"47,760","46,130",84.33
149,Warwick,V,"4,729","4,635",109.60
150,Saint-Christophe-d'Arthabaska,PE,"3,111","3,021",68.96
151,Saint-Rosaire,PE,932,843,109.53
152,Sainte-Séraphine,PE,441,355,75.86
153,Saints-Martyrs-Canadiens,PE,277,254,111.40
154,Chesterville,MÉ,877,922,116.72
155,Maddington Falls,MÉ,428,413,23.82
156,Notre-Dame-de-Ham,MÉ,414,411,31.05
157,Saint-Albert,MÉ,"1,640","1,601",69.43
158,Saint-Louis-de-Blandford,MÉ,"1,076","1,011",104.36
159,Saint-Norbert-d'Arthabaska,MÉ,"1,247","1,157",102.98
160,Saint-Rémi-de-Tingwick,MÉ,446,458,72.97
161,Saint-Samuel,MÉ,765,744,43.21
162,Saint-Valère,MÉ,"1,188","1,263",108.10
163,Sainte-Clotilde-de-Horton,MÉ,"1,563","1,569",114.66
164,Sainte-Hélène-de-Chester,MÉ,384,374,83.72
165,Sainte-Élizabeth-de-Warwick,MÉ,383,372,51.87
166,Tingwick,MÉ,"1,484","1,410",169.48
167,Ham-Nord,CT,857,869,103.98
168,Avignon 2,MRC,"13,415","14,461","3,487.37"
169,Carleton-sur-Mer,V,"4,081","4,073",221.48
170,Rivière-Nouvelle,NO,0,0,"1,087.60"
171,Ruisseau-Ferguson,NO,0,0,675.94
172,Escuminac,MÉ,575,544,108.70
173,L'Ascension-de-Patapédia,MÉ,148,164,95.98
174,Maria,MÉ,"2,760","2,615",94.88
175,Matapédia,MÉ,566,645,71.59
176,Nouvelle 3,MÉ,"1,782","1,681r",234.66
177,Pointe-à-la-Croix 3,MÉ,"1,344","1,408r",390.73
178,Saint-Alexis-de-Matapédia,MÉ,519,500,84.91
179,Saint-André-de-Restigouche,MÉ,154,161,143.37
180,Saint-François-d'Assise,MÉ,679,644,179.34
181,Gesgapegiag,IRI,637,653,2.20
182,Listuguj 3 6,IRI,..,"1,514r",44.23
183,Ristigouche-Partie-Sud-Est,CT,170,171,51.76
184,Beauce-Sartigan,MRC,"53,384","52,406","1,952.73"
185,La Guadeloupe,VL,"1,805","1,707",32.84
186,Lac-Poulin,VL,171,147,0.88
187,Saint-Georges,V,"32,935","32,513",199.08
188,Notre-Dame-des-Pins,PE,"1,812","1,594",24.09
189,Saint-Hilaire-de-Dorset,PE,96,95,186.77
190,Saint-Martin,PE,"2,588","2,477",118.00
191,Saint-René,PE,946,745,61.54
192,Saint-Benoît-Labre,MÉ,"1,617","1,630",85.65
193,Saint-Côme--Linière,MÉ,"3,278","3,239",150.45
194,Saint-Gédéon-de-Beauce,MÉ,"2,093","2,205",197.37
195,Saint-Honoré-de-Shenley 3,MÉ,"1,555","1,517r",133.96
196,Saint-Philibert,MÉ,379,369,57.16
197,Saint-Simon-les-Mines,MÉ,573,549,47.43
198,Saint-Théophile,MÉ,702,713,427.78
199,Saint-Éphrem-de-Beauce,MÉ,"2,323","2,400",118.90
200,Saint-Évariste-de-Forsyth 3,MÉ,511,545r,110.85
201,Beauharnois-Salaberry,MRC,"68,322","64,320",468.48
202,Beauharnois,V,"13,638","12,884",68.22
203,Salaberry-de-Valleyfield,V,"42,787","40,745",108.56
204,Saint-Louis-de-Gonzague,PE,"1,950","1,481",77.04
205,Saint-Stanislas-de-Kostka,MÉ,"1,852","1,654",57.69
206,Saint-Urbain-Premier,MÉ,"1,332","1,264",53.28
207,Saint-Étienne-de-Beauharnois,MÉ,"1,099",831,40.63
208,Sainte-Martine,MÉ,"5,664","5,461",63.06
209,Bellechasse,MRC,"38,000","37,233","1,749.91"
210,La Durantaye,PE,782,755,34.99
211,Notre-Dame-Auxiliatrice-de-Buckland,PE,767,768,94.71
212,Saint-Damien-de-Buckland,PE,"1,893","1,956",82.04
213,Saint-Léon-de-Standon,PE,"1,042","1,127",136.88
214,Saint-Malachie,PE,"1,667","1,517",101.07
215,Saint-Nazaire-de-Dorchester,PE,338,363,51.56
216,Saint-Philémon,PE,680,714,146.51
217,Armagh,MÉ,"1,439","1,488",167.99
218,Beaumont,MÉ,"2,968","2,942",44.57
219,Honfleur,MÉ,881,849,50.67
220,Saint-Anselme,MÉ,"4,047","3,938",74.22
221,Saint-Charles-de-Bellechasse,MÉ,"2,583","2,396",93.30
222,Saint-Gervais,MÉ,"2,138","2,153",89.33
223,Saint-Henri,MÉ,"5,813","5,611",122.61
224,Saint-Lazare-de-Bellechasse,MÉ,"1,332","1,288",85.93
225,Saint-Michel-de-Bellechasse,MÉ,"1,871","1,813",43.08
226,Saint-Nérée-de-Bellechasse,MÉ,744,742,75.76
227,Saint-Raphaël,MÉ,"2,458","2,390",121.69
228,Saint-Vallier,MÉ,"1,031","1,061",44.88
229,Sainte-Claire,MÉ,"3,526","3,362",88.14
230,Bonaventure,MRC,"17,557","17,660","4,379.46"
231,Bonaventure,V,"2,733","2,706",104.50
