,Geographic name,Geographic area type abbreviation,"Population, 2021","Population, 2016","Land area in square kilometres, 2021"
502,La Matapédia,MRC,"17,592","17,925","5,354.53"
503,Saint-Noël,VL,392,398,45.80
504,Amqui,V,"5,999","6,178",121.02
505,Causapscal,V,"2,147","2,304",161.61
506,Saint-Alexandre-des-Lacs 3,PE,298,268r,89.82
507,Saint-Cléophas,PE,321,333,97.22
508,Saint-Damase 3,PE,382,356r,116.42
509,Saint-Léon-le-Grand,PE,968,953,128.26
510,Saint-Moïse,PE,542,580,109.80
511,Saint-Tharcisius 3,PE,411,421r,78.84
512,Saint-Zénon-du-Lac-Humqui,PE,370,359,113.09
513,Sainte-Irène,PE,369,327,135.09
514,Lac-Alfred,NO,0,0,77.53
515,Lac-Casault 7,NO,30,"0E,r","1,428.21"
516,Lac-Matapédia 3,NO,10,5r,71.01
517,Rivière-Patapédia-Est,NO,0,0,15.85
518,Rivière-Vaseuse,NO,0,0,275.30
519,Routhierville,NO,20,18,626.26
520,Ruisseau-des-Mineurs 4,NO,5,0r,935.95
521,Albertville,MÉ,239,226,103.13
522,Lac-au-Saumon,MÉ,"1,488","1,450",81.05
523,Saint-Vianney,MÉ,446,441,145.60
524,Sainte-Florence,MÉ,367,384,103.48
525,Sainte-Marguerite-Marie,MÉ,183,166,85.97
526,Sayabec 3,MÉ,"1,706","1,831r",130.31
527,Val-Brillant,MÉ,899,927,77.90
528,La Mitis,MRC,"18,363","18,210","2,275.56"
529,Price,VL,"1,729","1,759",2.51
530,Mont-Joli,V,"6,384","6,281",24.24
531,Métis-sur-Mer 3,V,594,572r,48.22
532,La Rédemption,PE,384,432,116.63
533,Saint-Charles-Garnier,PE,222,240,84.79
534,Saint-Donat,PE,835,876,95.80
535,Saint-Joseph-de-Lepage,PE,590,523,30.98
536,Saint-Octave-de-Métis,PE,493,511,75.16
537,Sainte-Flavie,PE,904,884,38.23
538,Sainte-Jeanne-d'Arc,PE,217,280,110.34
539,Lac-des-Eaux-Mortes,NO,47,0,923.26
540,Lac-à-la-Croix,NO,0,0,223.35
541,Grand-Métis 3,MÉ,218,213r,25.12
542,Les Hauteurs,MÉ,485,504,102.92
543,Padoue,MÉ,250,245,66.66
544,Saint-Gabriel-de-Rimouski,MÉ,"1,177","1,167",126.98
545,Sainte-Angèle-de-Mérici,MÉ,989,953,107.78
546,Sainte-Luce,MÉ,"2,845","2,801",72.59
547,La Nouvelle-Beauce,MRC,"37,988","36,785",905.33
548,Sainte-Marie,V,"13,134","13,565",107.55
549,Sainte-Hénédine,PE,"1,440","1,271",51.53
550,Sainte-Marguerite,PE,"1,175","1,078",83.05
551,Saints-Anges,PE,"1,239","1,157",68.65
552,Frampton 3,MÉ,"1,309","1,297r",151.27
553,Saint-Bernard,MÉ,"2,535","2,321",90.10
554,Saint-Elzéar,MÉ,"2,623","2,400",87.07
555,Saint-Isidore,MÉ,"3,286","2,880",102.61
556,Saint-Lambert-de-Lauzon,MÉ,"6,817","6,647",106.76
557,Scott,MÉ,"2,566","2,352",31.29
558,Vallée-Jonction 5,MÉ,"1,864","1,875r",25.45
559,La Rivière-du-Nord,MRC,"140,394","128,170",447.88
560,Prévost,V,"13,692","13,002",34.29
561,Saint-Colomban,V,"17,740","16,019",92.71
562,Saint-Jérôme,V,"80,213","74,346",90.18
563,Saint-Hippolyte,MÉ,"10,669","9,113",119.50
564,Sainte-Sophie,MÉ,"18,080","15,690",111.20
565,La Vallée-de-l'Or,MRC,"43,347","43,226","24,094.84"
566,Malartic,V,"3,355","3,377",147.45
567,Senneterre,V,"2,782","2,868","14,718.51"
568,Val-d'Or,V,"32,752","32,491","3,536.84"
569,Kitcisakik,S-É,257,274,1.51
570,Senneterre,PE,"1,202","1,192",567.05
571,Lac-Granet,NO,0,0,217.77
572,Lac-Metei,NO,0,0,72.12
573,Matchi-Manitou,NO,0,0,164.77
574,Réservoir-Dozois,NO,0,0,"3,832.68"
575,Belcourt,MÉ,219,225,409.74
576,Rivière-Héva,MÉ,"1,495","1,419",423.27
577,Lac Simon,IRI,"1,285","1,380",3.14
578,La Vallée-de-la-Gatineau 2,MRC,"20,547","20,182","12,362.49"
579,Gracefield,V,"2,376","2,462",380.94
580,Maniwaki 5,V,"3,757","3,843r",5.67
581,Cascades-Malignes,NO,0,0,480.88
582,Dépôt-Échouani,NO,0,0,308.12
583,Lac-Lenôtre,NO,0,0,"1,934.31"
584,Lac-Moselle,NO,0,0,"1,144.81"
585,Lac-Pythonga,NO,0,0,"5,061.54"
586,Blue Sea,MÉ,696,639,72.97
587,Bois-Franc,MÉ,411,421,71.56
588,Bouchette,MÉ,695,731,122.09
589,Cayamant,MÉ,895,821,382.49
590,Denholm,MÉ,546,505,177.33
591,Déléage,MÉ,"1,916","1,852",248.26
592,Egan-Sud,MÉ,508,504,49.82
593,Grand-Remous,MÉ,"1,159","1,161",351.63
594,Kazabazua,MÉ,"1,037",945,172.91
595,Lac-Sainte-Marie,MÉ,677,566,205.71
596,Messines,MÉ,"1,655","1,609",110.11
597,Montcerf-Lytton,MÉ,653,636,354.64
598,Sainte-Thérèse-de-la-Gatineau,MÉ,588,520,60.68
599,Kitigan Zibi 5,IRI,"1,204","1,231r",195.06
600,Lac-Rapide 6,IRI,..,..,0.36
601,Aumond,CT,754,754,212.82
602,Low,CT,"1,020",982,257.78
603,La Vallée-du-Richelieu,MRC,"131,803","124,420",587.84
604,Beloeil,V,"24,104","22,458",24.38
605,Carignan,V,"11,740","9,462",62.07
606,Chambly,V,"31,444","29,120",25.08
607,Mont-Saint-Hilaire,V,"18,859","18,585",44.08
608,Otterburn Park,V,"8,479","8,421",5.37
609,Saint-Basile-le-Grand,V,"17,053","17,059",35.84
610,McMasterville,MÉ,"5,936","5,698",3.12
611,Saint-Antoine-sur-Richelieu,MÉ,"1,738","1,694",65.67
612,Saint-Charles-sur-Richelieu,MÉ,"1,735","1,717",64.91
613,Saint-Denis-sur-Richelieu,MÉ,"2,339","2,308",84.64
614,Saint-Jean-Baptiste,MÉ,"3,179","3,107",72.36
615,Saint-Marc-sur-Richelieu,MÉ,"2,245","2,172",60.92
616,Saint-Mathieu-de-Beloeil,MÉ,"2,952","2,619",39.39
617,Lac-Saint-Jean-Est,MRC,"52,475","52,741","2,767.51"
618,Hébertville-Station,VL,"1,229","1,311",31.50
619,Alma 5,V,"30,331","30,771r",194.92
620,Desbiens,V,995,"1,028",10.39
621,Métabetchouan--Lac-à-la-Croix,V,"4,121","3,985",187.49
622,L'Ascension-de-Notre-Seigneur,PE,"2,079","1,987",130.84
623,Belle-Rivière 3,NO,10,0r,608.47
624,Lac-Achouakan,NO,0,0,225.49
625,Lac-Moncouche,NO,0,0,262.78
626,Mont-Apica,NO,0,0,13.02
627,Hébertville 3,MÉ,"2,500","2,542r",260.74
628,Labrecque,MÉ,"1,328","1,321",152.67
629,Lamarche,MÉ,476,514,81.45
630,Saint-Bruno,MÉ,"2,902","2,801",77.86
631,Saint-Gédéon,MÉ,"2,177","2,085",63.38
632,Saint-Henri-de-Taillon 5,MÉ,803,826r,61.74
633,Saint-Ludger-de-Milot,MÉ,637,651,107.46
634,Saint-Nazaire,MÉ,"2,029","2,073",144.76
635,Sainte-Monique,MÉ,858,846,152.53
636,Le Domaine-du-Roy,MRC,"31,095","31,285","17,476.45"
637,Saint-André-du-Lac-Saint-Jean,VL,453,467,145.43
638,Roberval,V,"9,840","10,046",151.36
639,Saint-Félicien,V,"10,089","10,238",361.27
640,La Doré,PE,"1,359","1,365",288.55
641,Lac-Ashuapmushuan,NO,140,36,"14,684.28"
642,Chambord,MÉ,"1,748","1,765",120.85
643,Lac-Bouchette,MÉ,"1,183","1,196",904.26
644,Saint-François-de-Sales,MÉ,643,616,197.20
645,Saint-Prime,MÉ,"2,760","2,753",147.16
646,Sainte-Hedwidge,MÉ,870,846,461.67
647,Mashteuiatsh,IRI,"2,010","1,957",14.43
648,Le Granit,MRC,"21,948","21,462","2,731.55"
649,Lac-Mégantic,V,"5,747","5,654",21.98
650,Saint-Augustin-de-Woburn,PE,667,692,281.07
651,Audet,MÉ,708,734,134.95
652,Courcelles,MÉ,814,823,90.34
653,Frontenac,MÉ,"1,811","1,734",223.60
654,Lac-Drolet,MÉ,"1,067","1,021",124.30
655,Lambton,MÉ,"1,630","1,617",108.45
656,Milan,MÉ,318,299,129.44
657,Nantes,MÉ,"1,388","1,377",119.16
658,Notre-Dame-des-Bois,MÉ,"1,028",938,192.51
659,Piopolis,MÉ,398,358,103.38
660,Saint-Ludger,MÉ,"1,074","1,071",127.58
661,Saint-Robert-Bellarmin,MÉ,529,575,236.33
662,Saint-Romain,MÉ,711,691,112.12
663,Saint-Sébastien,MÉ,674,657,91.95
664,Sainte-Cécile-de-Whitton,MÉ,853,863,146.46
665,Stornoway,MÉ,535,530,180.15
666,Val-Racine,MÉ,183,178,116.06
667,Marston,CT,777,705,71.83
668,Stratford,CT,"1,036",945,119.86
669,Le Haut-Richelieu,MRC,"121,277","117,443",934.85
670,Saint-Jean-sur-Richelieu,V,"97,873","95,114",226.93
671,Sainte-Anne-de-Sabrevois,PE,"2,143","2,039",44.65
672,Henryville,MÉ,"1,497","1,406",64.82
673,Lacolle,MÉ,"2,708","2,596",49.41
674,Mont-Saint-Grégoire,MÉ,"3,136","3,077",79.83
675,Noyan,MÉ,"1,418","1,392",44.28
676,Saint-Alexandre,MÉ,"2,678","2,469",76.27
677,Saint-Blaise-sur-Richelieu,MÉ,"2,092","2,066",69.54
678,Saint-Georges-de-Clarenceville,MÉ,"1,154","1,103",63.06
679,Saint-Paul-de-l'Île-aux-Noix,MÉ,"2,141","1,980",29.85
680,Saint-Sébastien,MÉ,692,718,63.29
681,Saint-Valentin,MÉ,418,447,39.27
682,Sainte-Brigide-d'Iberville,MÉ,"1,428","1,402",70.52
683,Venise-en-Québec,MÉ,"1,899","1,634",13.13
684,Le Haut-Saint-François,MRC,"22,926","22,335","2,269.68"
685,Cookshire-Eaton,V,"5,344","5,393",296.25
686,East Angus,V,"3,840","3,659",7.84
687,Scotstown,V,459,472,11.44
688,Ascot Corner,MÉ,"3,368","3,158",81.64
689,Bury,MÉ,"1,252","1,174",234.13
690,Chartierville,MÉ,319,276,141.94
691,Dudswell,MÉ,"1,755","1,727",218.01
692,La Patrie,MÉ,805,768,204.61
693,Newport,MÉ,698,733,270.63
694,Saint-Isidore-de-Clifton,MÉ,673,695,176.94
695,Weedon,MÉ,"2,667","2,670",215.95
696,Hampden,CT,193,176,111.68
697,Lingwick,CT,456,428,243.01
698,Westbury,CT,"1,097","1,006",55.61
699,Le Haut-Saint-Laurent 2,MRC,"22,213","22,454","1,168.08"
700,Huntingdon,V,"2,556","2,444",2.77
701,Très-Saint-Sacrement,PE,"1,189","1,186",97.16
702,Elgin,MÉ,389,394,69.35
703,Franklin,MÉ,"1,635","1,636",112.33
704,Hinchinbrooke,MÉ,"2,187","2,103",148.36
705,Howick,MÉ,850,778,0.96
706,Ormstown,MÉ,"3,917","3,595",142.24
707,Saint-Anicet,MÉ,"2,754","2,626",135.03
708,Saint-Chrysostome,MÉ,"2,582","2,645",100.20
709,Sainte-Barbe,MÉ,"1,609","1,324",40.14
710,Akwesasne 3 6,IRI,..,"2,378r",23.79
711,Dundee,CT,386,387,68.41
712,Godmanchester,CT,"1,403","1,394",138.66
713,Havelock,CT,756,740,88.70
714,Le Rocher-Percé,MRC,"17,219","17,282","3,074.80"
715,Chandler,V,"7,490","7,546",418.45
716,Grande-Rivière,V,"3,384","3,408",87.92
717,Percé,V,"3,095","3,103",432.81
718,Mont-Alexandre,NO,0,0,"1,800.87"
719,Port-Daniel--Gascons,MÉ,"2,271","2,210",300.29
720,Sainte-Thérèse-de-Gaspé,MÉ,979,"1,015",34.45
721,Le Val-Saint-François,MRC,"31,551","30,686","1,401.56"
722,Kingsbury,VL,142,138,6.11
723,Lawrenceville,VL,618,635,16.73
724,Richmond,V,"3,259","3,232",6.98
725,Valcourt,V,"2,139","2,165",5.41
726,Windsor,V,"5,294","5,419",14.53
727,Bonsecours,MÉ,650,608,60.36
728,Maricourt,MÉ,456,416,61.10
729,Racine,MÉ,"1,340","1,323",105.63
730,Saint-Claude,MÉ,"1,141","1,185",118.85
731,Saint-Denis-de-Brompton,MÉ,"4,594","4,054",70.29
732,Saint-François-Xavier-de-Brompton,MÉ,"2,469","2,273",97.71
733,Sainte-Anne-de-la-Rochelle,MÉ,625,598,61.86
734,Stoke,MÉ,"3,014","2,955",255.12
735,Ulverton,MÉ,433,418,51.27
736,Val-Joli,MÉ,"1,671","1,619",91.69
737,Cleveland,CT,"1,581","1,541",123.59
738,Melbourne,CT,"1,096","1,063",173.93
739,Valcourt,CT,"1,029","1,044",80.39
740,Les Appalaches,MRC,"43,412","42,346","1,911.83"
741,Disraeli,V,"2,360","2,336",6.80
742,Thetford Mines,V,"26,072","25,403",225.97
743,Disraeli,PE,"1,163","1,123",92.53
744,Sacré-Coeur-de-Jésus,PE,536,521,104.73
745,Saint-Jacques-le-Majeur-de-Wolfestown,PE,186,188,58.71
746,Sainte-Praxède,PE,351,327,136.18
747,Adstock,MÉ,"2,903","2,806",290.03
748,Beaulac-Garthby,MÉ,931,905,75.96
749,East Broughton,MÉ,"2,248","2,199",8.86
750,Irlande,MÉ,897,884,109.85
751,Kinnear's Mills,MÉ,397,350,93.66
752,Saint-Adrien-d'Irlande,MÉ,395,399,53.18
753,Saint-Fortunat,MÉ,255,263,76.09
754,Saint-Jacques-de-Leeds,MÉ,711,685,80.56
755,Saint-Jean-de-Brébeuf,MÉ,351,372,79.15
756,Saint-Joseph-de-Coleraine,MÉ,"1,820","1,762",126.76
757,Saint-Julien,MÉ,378,376,81.70
758,Saint-Pierre-de-Broughton,MÉ,889,898,150.56
759,Sainte-Clotilde-de-Beauce,MÉ,569,549,60.55
760,Les Basques,MRC,"8,873","8,694","1,120.03"
761,Trois-Pistoles,V,"3,115","3,246",7.63
762,Saint-Éloi,PE,310,286,65.77
763,Sainte-Françoise,PE,383,386,88.83
764,Lac-Boisbouscache,NO,0,0,98.15
765,Notre-Dame-des-Neiges,MÉ,"1,194","1,085",94.44
766,Saint-Clément,MÉ,479,460,86.72
767,Saint-Guy,MÉ,76,54,139.54
768,Saint-Jean-de-Dieu,MÉ,"1,651","1,596",152.04
769,Saint-Mathieu-de-Rioux,MÉ,691,639,107.27
770,Saint-Médard,MÉ,216,209,75.28
771,Saint-Simon-de-Rimouski,MÉ,455,426,74.84
772,Sainte-Rita,MÉ,303,307,129.52
773,Les Collines-de-l'Outaouais,MRC,"54,498","49,094","2,025.38"
774,Cantley,MÉ,"11,449","10,699",126.12
775,Chelsea,MÉ,"8,000","6,909",112.65
776,L'Ange-Gardien,MÉ,"6,102","5,464",216.05
777,La Pêche,MÉ,"8,636","7,863",577.18
778,Notre-Dame-de-la-Salette,MÉ,841,727,113.33
779,Pontiac,MÉ,"6,142","5,850",445.27
780,Val-des-Monts,MÉ,"13,328","11,582",434.77
781,Les Etchemins,MRC,"16,927","16,536","1,809.61"
782,Saint-Camille-de-Lellis,PE,737,752,251.93
783,Saint-Cyprien,PE,474,490,93.48
784,Sainte-Sabine,PE,343,358,66.89
785,Lac-Etchemin,MÉ,"4,028","3,822",157.22
786,Saint-Benjamin,MÉ,"1,090",987,111.53
787,Saint-Louis-de-Gonzague,MÉ,390,374,118.01
788,Saint-Luc-de-Bellechasse,MÉ,449,438,161.99
789,Saint-Magloire,MÉ,712,676,208.61
790,Saint-Prosper,MÉ,"3,596","3,590",133.74
791,Saint-Zacharie,MÉ,"1,684","1,653",186.56
792,Sainte-Aurélie,MÉ,856,847,78.25
793,Sainte-Justine,MÉ,"1,828","1,820",126.28
794,Sainte-Rose-de-Watford,MÉ,740,729,115.13
795,Les Jardins-de-Napierville,MRC,"30,339","27,870",802.52
796,Hemmingford,VL,829,755,1.07
797,Saint-Rémi,V,"8,957","8,061",78.18
798,Napierville,MÉ,"4,020","3,899",4.50
799,Saint-Bernard-de-Lacolle,MÉ,"1,542","1,549",113.36
800,Saint-Cyprien-de-Napierville,MÉ,"1,735","1,927",97.75
801,Saint-Jacques-le-Mineur,MÉ,"1,766","1,690",67.18
802,Saint-Michel,MÉ,"3,521","3,186",59.82
803,Saint-Patrice-de-Sherrington,MÉ,"1,963","1,960",92.55
804,Saint-Édouard,MÉ,"1,365","1,321",52.68
805,Sainte-Clotilde,MÉ,"2,646","1,622",78.21
806,Hemmingford,CT,"1,995","1,900",157.22
807,Les Laurentides 2,MRC,"50,777","45,902","2,457.53"
808,Val-David,VL,"5,558","4,917",42.66
809,Barkmere,V,81,58,17.72
810,Mont-Tremblant,V,"10,992","9,646",233.75
811,Sainte-Agathe-des-Monts,V,"11,211","10,223",129.10
812,Brébeuf,PE,"1,009",976,35.78
813,Huberdeau,MÉ,863,868,56.72
814,Ivry-sur-le-Lac,MÉ,391,387,29.30
815,La Conception,MÉ,"1,527","1,337",127.37
816,La Minerve,MÉ,"1,421","1,205",274.92
817,Labelle,MÉ,"2,765","2,477",196.69
818,Lac-Supérieur,MÉ,"1,972","1,888",365.98
819,Lac-Tremblant-Nord,MÉ,60,42,20.62
820,Lantier,MÉ,891,834,48.19
821,Montcalm,MÉ,632,628,117.71
822,Saint-Faustin--Lac-Carré,MÉ,"3,780","3,499",120.21
823,Sainte-Lucie-des-Laurentides,MÉ,"1,445","1,256",108.98
824,Val-Morin,MÉ,"3,123","2,870",39.20
825,Val-des-Lacs,MÉ,750,744,126.70
826,Doncaster 6,IRI,..,..,74.62
827,Amherst,CT,"1,728","1,484",227.86
828,Arundel,CT,578,563,63.45
829,Les Maskoutains,MRC,"89,432","87,099","1,302.15"
830,Sainte-Madeleine,VL,"2,268","2,233",5.36
831,Saint-Hyacinthe,V,"57,239","55,648",188.85
832,Saint-Pie,V,"5,847","5,607",107.42
833,Sainte-Marie-Madeleine,PE,"2,876","2,892",50.04
834,La Présentation,MÉ,"2,638","2,540",94.39
835,Saint-Barnabé-Sud,MÉ,962,861,57.20
836,Saint-Bernard-de-Michaudville,MÉ,616,586,66.05
837,Saint-Damase,MÉ,"2,447","2,473",79.65
838,Saint-Dominique,MÉ,"2,741","2,553",70.53
839,Saint-Hugues,MÉ,"1,340","1,327",84.64
840,Saint-Jude,MÉ,"1,326","1,214",77.33
841,Saint-Liboire,MÉ,"3,036","3,062",73.82
842,Saint-Louis,MÉ,740,712,47.21
843,Saint-Marcel-de-Richelieu,MÉ,507,497,51.27
844,Saint-Simon,MÉ,"1,386","1,413",69.05
845,Saint-Valérien-de-Milton,MÉ,"1,767","1,793",106.92
846,Sainte-Hélène-de-Bagot,MÉ,"1,696","1,688",72.41
847,Les Moulins,MRC,"171,127","158,267",260.65
848,Mascouche,V,"51,183","46,692",106.89
849,Terrebonne,V,"119,944","111,575",153.76
850,Les Pays-d'en-Haut,MRC,"46,906","41,877",673.98
851,Estérel,V,262,196,12.62
852,Saint-Sauveur,V,"11,580","10,231",47.62
853,Sainte-Adèle,V,"14,010","12,919",119.67
854,Sainte-Marguerite-du-Lac-Masson,V,"3,367","2,763",91.56
855,Sainte-Anne-des-Lacs,PE,"3,862","3,611",24.65
856,Lac-des-Seize-Îles 5,MÉ,175,192r,8.88
857,Morin-Heights,MÉ,"4,678","4,145",55.96
858,Piedmont,MÉ,"3,476","2,950",24.36
859,Saint-Adolphe-d'Howard,MÉ,"3,824","3,509",135.80
860,Wentworth-Nord 5,MÉ,"1,672","1,361r",152.87
861,Les Sources,MRC,"14,623","14,286",785.42
862,Danville,V,"3,888","3,826",151.73
863,Val-des-Sources,V,"7,088","6,786",30.25
864,Ham-Sud,MÉ,214,235,151.21
865,Saint-Adrien,MÉ,522,522,98.52
866,Saint-Georges-de-Windsor,MÉ,958,958,127.46
867,Wotton,MÉ,"1,402","1,430",143.15
868,Saint-Camille,CT,551,529,83.10
869,Lotbinière,MRC,"34,586","31,741","1,662.26"
870,Laurier-Station,VL,"2,570","2,573",12.16
871,Notre-Dame-du-Sacré-Coeur-d'Issoudun,PE,867,861,60.32
872,Saint-Narcisse-de-Beaurivage,PE,"1,152","1,106",62.07
873,Saint-Édouard-de-Lotbinière,PE,"1,240","1,194",98.43
874,Dosquet,MÉ,935,944,65.07
875,Leclercville,MÉ,491,473,136.61
876,Lotbinière,MÉ,855,812,79.91
877,Saint-Agapit,MÉ,"4,526","4,280",65.40
878,Saint-Antoine-de-Tilly,MÉ,"1,682","1,598",59.95
879,Saint-Apollinaire,MÉ,"7,968","6,110",96.83
880,Saint-Flavien,MÉ,"1,619","1,618",66.16
881,Saint-Gilles,MÉ,"2,910","2,525",177.43
882,Saint-Janvier-de-Joly,MÉ,"1,079",984,109.88
883,Saint-Patrice-de-Beaurivage,MÉ,"1,109","1,036",85.73
884,Saint-Sylvestre,MÉ,"1,019","1,019",147.15
885,Sainte-Agathe-de-Lotbinière,MÉ,"1,049","1,168",166.99
886,Sainte-Croix,MÉ,"2,529","2,516",69.63
887,Val-Alain,MÉ,986,924,102.54
888,Manicouagan,MRC,"30,158","31,027","34,655.04"
889,Baie-Trinité,VL,438,407,417.48
890,Chute-aux-Outardes,VL,"1,391","1,563",7.51
891,Godbout,VL,272,265,159.18
892,Pointe-Lebel,VL,"1,817","1,918",85.54
893,Pointe-aux-Outardes,VL,"1,434","1,332",75.19
894,Baie-Comeau,V,"20,687","21,536",334.83
895,Ragueneau,PE,"1,314","1,343",179.83
896,Rivière-aux-Outardes,NO,92,94,"32,713.75"
897,Franquelin,MÉ,285,313,436.55
898,Pessamit,IRI,"2,428","2,256",245.19
899,Marguerite-D'Youville,MRC,"80,313","77,550",347.10
900,Contrecoeur,V,"9,480","7,887",62.20
901,Saint-Amable,V,"13,322","12,167",36.77
902,Sainte-Julie,V,"30,045","29,881",48.49
903,Varennes,V,"21,198","21,257",94.80
904,Calixa-Lavallée,MÉ,509,523,32.20
905,Verchères,MÉ,"5,759","5,835",72.63
906,Maria-Chapdelaine,MRC,"24,149","24,793","35,501.49"
907,Sainte-Jeanne-d'Arc,VL,"1,101","1,050",267.28
908,Dolbeau-Mistassini 3,V,"13,718","14,212r",293.43
909,Normandin,V,"2,991","3,033",211.79
910,Saint-Augustin,PE,334,351,104.25
911,Passes-Dangereuses 3,NO,210,184r,"15,579.11"
912,Rivière-Mistassini 3,NO,27,49r,"17,629.74"
913,Albanel,MÉ,"2,181","2,262",197.45
914,Girardville,MÉ,"1,018",988,124.11
915,Notre-Dame-de-Lorette,MÉ,159,189,325.77
916,Péribonka,MÉ,489,515,110.30
917,Saint-Edmond-les-Plaines,MÉ,355,381,84.39
918,Saint-Eugène-d'Argentenay,MÉ,487,488,87.05
919,Saint-Stanislas,MÉ,376,373,153.58
920,Saint-Thomas-Didyme,MÉ,703,676,333.25
921,Maskinongé,MRC,"37,292","36,316","2,367.08"
922,Louiseville,V,"7,340","7,152",62.59
923,Saint-Alexis-des-Monts,PE,"2,999","2,981","1,035.74"
924,Saint-Barnabé,PE,"1,186","1,196",58.94
925,Saint-Léon-le-Grand,PE,863,928,75.97
926,Saint-Sévère,PE,337,302,31.85
927,Saint-Étienne-des-Grès,PE,"4,539","4,541",104.54
928,Charette,MÉ,"1,034",953,41.90
929,Maskinongé,MÉ,"2,323","2,319",73.31
930,Saint-Boniface,MÉ,"5,156","4,832",107.42
931,Saint-Justin,MÉ,961,973,78.96
932,Saint-Mathieu-du-Parc,MÉ,"1,482","1,338",218.85
933,Saint-Paulin,MÉ,"1,541","1,497",95.41
934,Saint-Édouard-de-Maskinongé,MÉ,798,712,52.82
935,Saint-Élie-de-Caxton,MÉ,"1,934","1,836",116.84
936,Sainte-Angèle-de-Prémont,MÉ,631,596,37.73
937,Sainte-Ursule,MÉ,"1,355","1,330",67.83
938,Yamachiche,MÉ,"2,813","2,830",106.39
939,Matawinie,MRC,"55,500","50,435","9,423.15"
940,Saint-Damien,PE,"2,393","2,094",252.28
941,Baie-Atibenne,NO,0,0,527.58
942,Baie-Obaoca,NO,0,0,"1,261.66"
943,Baie-de-la-Bouteille,NO,10,5,"1,938.18"
944,Lac-Cabasta,NO,0,0,4.70
945,Lac-Devenyns,NO,5,0,100.71
946,Lac-Legendre,NO,0,0,693.58
947,Lac-Matawin,NO,10,10,759.12
948,Lac-Minaki,NO,0,0,80.59
949,Lac-Santé,NO,0,0,12.21
950,Lac-des-Dix-Milles,NO,0,0,224.78
951,Lac-du-Taureau,NO,0,0,5.86
952,Saint-Guillaume-Nord,NO,102,87,752.78
953,Chertsey,MÉ,"5,295","4,696",286.05
954,Entrelacs,MÉ,"1,054",928,48.71
955,Notre-Dame-de-la-Merci,MÉ,"1,097",905,248.58
956,Rawdon,MÉ,"11,719","11,057",185.38
957,Saint-Alphonse-Rodriguez,MÉ,"3,339","3,162",97.54
958,Saint-Côme,MÉ,"2,583","2,193",164.89
959,Saint-Donat,MÉ,"4,561","3,888",350.17
960,Saint-Félix-de-Valois,MÉ,"6,975","6,305",88.40
961,Saint-Jean-de-Matha,MÉ,"4,838","4,450",109.49
962,Saint-Michel-des-Saints,MÉ,"2,496","2,359",493.92
963,Saint-Zénon,MÉ,"1,317","1,120",460.41
964,Sainte-Béatrix,MÉ,"2,170","1,955",82.96
965,Sainte-Marcelline-de-Kildare,MÉ,"1,795","1,594",34.52
966,Sainte-Émélie-de-l'Énergie,MÉ,"1,741","1,567",150.08
967,Communauté Atikamekw de Manawan,IRI,"2,000","2,060",8.03
968,Memphrémagog,MRC,"54,797","50,415","1,317.42"
969,Ayer's Cliff 3,VL,"1,180","1,073r",5.53
970,North Hatley,VL,675,632,3.35
971,Stukely-Sud,VL,"1,142","1,058",63.19
972,Magog,V,"28,312","26,669",144.26
973,Stanstead,V,"2,824","2,788",21.95
974,Austin,MÉ,"1,748","1,485",73.58
975,Bolton-Est,MÉ,"1,108",940,79.39
976,Eastman,MÉ,"2,279","1,843",73.57
977,Hatley 3,MÉ,771,685r,60.43
978,Ogden,MÉ,761,741,74.68
979,Saint-Benoît-du-Lac,MÉ,43,32,2.18
980,Saint-Étienne-de-Bolton,MÉ,816,674,47.27
981,Sainte-Catherine-de-Hatley,MÉ,"2,741","2,479",86.34
982,Hatley,CT,"2,230","2,106",71.60
983,Orford,CT,"5,007","4,337",136.14
984,Potton,CT,"2,012","1,852",260.77
985,Stanstead,CT,"1,148","1,036",113.20
986,Montcalm,MRC,"58,680","52,596",709.58
987,Saint-Lin--Laurentides,V,"24,030","20,786",118.29
988,Saint-Alexis,MÉ,"1,370","1,308",43.01
989,Saint-Calixte,MÉ,"6,792","6,046",142.63
990,Saint-Esprit,MÉ,"2,011","1,967",54.19
991,Saint-Jacques,MÉ,"4,302","3,971",67.17
992,Saint-Liguori,MÉ,"2,066","1,943",50.88
993,Saint-Roch-Ouest,MÉ,262,266,20.14
994,Saint-Roch-de-l'Achigan,MÉ,"5,453","5,147",80.06
995,Sainte-Julienne,MÉ,"11,173","9,953",99.42
996,Sainte-Marie-Salomé,MÉ,"1,221","1,209",33.79
997,Montmagny,MRC,"22,481","22,698","1,695.09"
998,Montmagny,V,"10,999","11,255",124.44
999,Saint-Antoine-de-l'Isle-aux-Grues,PE,122,144,23.97
1000,Saint-Fabien-de-Panet,PE,945,954,187.01
1001,Saint-Pierre-de-la-Rivière-du-Sud,PE,840,907,91.05
1002,Sainte-Apolline-de-Patton,PE,505,542,256.51
1003,Berthier-sur-Mer,MÉ,"1,744","1,555",26.85
1004,Cap-Saint-Ignace,MÉ,"3,099","3,089",204.32
1005,Lac-Frontière,MÉ,175,184,49.96
1006,Notre-Dame-du-Rosaire,MÉ,371,392,164.63
1007,Saint-François-de-la-Rivière-du-Sud,MÉ,"1,580","1,623",96.35
